Team 1,Team 2,Winner
India,Australia,Australia
Australia,South Africa,Australia
India,New Zealand,India
India,Netherlands,India
England,Pakistan,England
Australia,Bangladesh,Australia
Afghanistan,South Africa,South Africa
New Zealand,Sri Lanka,New Zealand
England,Netherlands,England
Afghanistan,Australia,Australia
Bangladesh,Sri Lanka,Bangladesh
India,South Africa,India
Australia,England,Australia
New Zealand,Pakistan,Pakistan
Afghanistan,Netherlands,Afghanistan
India,Sri Lanka,India
New Zealand,South Africa,South Africa
Bangladesh,Pakistan,Pakistan
Afghanistan,Sri Lanka,Afghanistan
India,England,India
Bangladesh,Netherlands,Netherlands
Australia,New Zealand,Australia
Pakistan,South Africa,South Africa
England,Sri Lanka,Sri Lanka
Australia,Netherlands,Australia
Bangladesh,South Africa,South Africa
Afghanistan,Pakistan,Afghanistan
India,New Zealand,India
England,South Africa,South Africa
Netherlands,Sri Lanka,Sri Lanka
Australia,Pakistan,Australia
India,Bangladesh,India
Afghanistan,New Zealand,New Zealand
Netherlands,South Africa,Netherlands
Australia,Sri Lanka,Australia
Afghanistan,England,Afghanistan
India,Pakistan,India
Bangladesh,New Zealand,New Zealand
Australia,South Africa,South Africa
India,Afghanistan,India
Pakistan,Sri Lanka,Pakistan
Bangladesh,England,England
Netherlands,New Zealand,New Zealand
India,Australia,India
South Africa,Sri Lanka,South Africa
Afghanistan,Bangladesh,Bangladesh
Netherlands,Pakistan,Pakistan
England,New Zealand,New Zealand
